run	BC1	BC2	BC3	BC4	BC5
968	2033.9100746822	1753.2738049718	4717.0278178934	5106.8931879646	4270.5616500488
969	2031.8603444447	1756.1184337859	4717.1040680007	5107.1140244918	4269.9500009704
970	2028.5389942069	1758.6310098905	4717.1982031210	5107.3280698186	4269.3759354528
971	2024.3587081421	1760.8276308520	4717.3094783755	5107.5354013870	4268.8384161275
972	2019.7321704237	1762.7243942367	4717.4371488855	5107.7360966389	4268.3364056259
973	2015.0720652251	1764.3373976110	4717.5804697722	5107.9302330165	4267.8688665793
974	2010.7910767196	1765.6827385413	4717.7386961569	5108.1178879616	4267.4347616190
975	2007.2417189715	1766.7765145938	4717.9110831607	5108.2991389163	4267.0330533764
976	2004.5358256086	1767.6348233350	4718.0968859050	5108.4740633227	4266.6627044829
977	2002.7250601495	1768.2737623312	4718.2953595109	5108.6427386226	4266.3226775697
978	2001.8610861131	1768.7094291488	4718.5057590997	5108.8052422582	4266.0119352683
979	2001.9955670180	1768.9579213540	4718.7273397927	5108.9616516713	4265.7294402101
980	2003.1801663830	1769.0353365134	4718.9593567110	5109.1120443041	4265.4741550262
981	2005.4665477267	1768.9577721931	4719.2010649759	5109.2564975985	4265.2450423482
982	2008.9063745679	1768.7413259596	4719.4517197087	5109.3950889966	4265.0410648074
983	2013.4805466129	1768.4020953793	4719.7105760306	5109.5278959403	4264.8611850351
984	2018.8869083185	1767.9561780184	4719.9768890628	5109.6549958716	4264.7043656627
985	2024.7525403291	1767.4196714434	4720.2499139266	5109.7764662326	4264.5695693215
986	2030.7045232892	1766.8086732206	4720.5289057432	5109.8923844653	4264.4557586429
987	2036.3699378432	1766.1392809163	4720.8131196338	5110.0028280116	4264.3618962582
988	2041.3758646355	1765.4275920969	4721.1018107197	5110.1078743136	4264.2869447988
989	2045.3493843106	1764.6897043288	4721.3942341221	5110.2076008132	4264.2298668960
990	2048.0128372191	1763.9417151783	4721.6896449622	5110.3020849525	4264.1896251813
991	2049.4696025374	1763.1997222117	4721.9872983614	5110.3914041735	4264.1651822859
992	2049.9183191478	1762.4798229955	4722.2864494408	5110.4756359182	4264.1555008411
993	2049.5576259328	1761.7981150960	4722.5863533217	5110.5548576286	4264.1595434785
994	2048.5861617751	1761.1706960794	4722.8862651253	5110.6291467467	4264.1762728292
995	2047.2025655570	1760.6136635123	4723.1854399728	5110.6985807145	4264.2046515247
996	2045.6054761610	1760.1431149609	4723.4831329855	5110.7632369740	4264.2436421964
997	2043.9935324698	1759.7751479916	4723.7785992846	5110.8231929672	4264.2922074755
998	2042.5653733657	1759.5258601707	4724.0710939914	5110.8785261362	4264.3493099934
999	2041.4829877176	1759.4113490647	4724.3598722271	5110.9293139228	4264.4139123815
1000	2040.7617643400	1759.4477122398	4724.6441891129	5110.9756337692	4264.4849772711
1001	2040.3804420334	1759.6510472624	4724.9232997701	5111.0175631173	4264.5614672936
